number	code	covariate	chip	slot	geogroup	geoaccession
1	RS-16	RS	4634633002	A	Verified	GSM996691
2	DP-34	DP	4634633002	B	Verified	GSM996731
3	DP-19	DP	4634633002	C	Verified	GSM996716
4	DP-32	DP	4634633002	D	Verified	GSM996729
5	DP-04	DP	4634633002	E	Verified	GSM996701
6	MBP	MBP	4634633002	F	other	GSM996658
19	RS-17	RS	4634633043	A	Verified	GSM996692
20	N1.1	N	4634633043	B	Generic	GSM996734
21	N5.1	N	4634633043	C	Generic	GSM996742
22	GA_Acid	GA	4634633043	D	Modified	GSM996760
10	DM958	DM	4634633043	E	Modified	GSM996752
23	Medium-01	M	4634633043	F	Background	GSM996662
7	RS-01	RS	4634633053	A	Verified	GSM996694
8	DP-31	DP	4634633053	B	Verified	GSM996728
9	N3.1	N	4634633053	C	Generic	GSM996737
NA	failedQC	FAIL	4634633053	D	NA	NA
11	DM962.1	DM	4634633053	E	Modified	GSM996754
12	Medium-15	M	4634633053	F	NA	NA
13	Manitol	MANITOL	4637105025	A	other	GSM996659
14	DP-20	DP	4637105025	B	Verified	GSM996717
15	DP-16	DP	4637105025	C	Verified	GSM996713
16	DP-15	DP	4637105025	D	Verified	GSM996712
17	DP-30	DP	4637105025	E	Verified	GSM996727
18	DP-11	DP	4637105025	F	Verified	GSM996708
24	RS-02	RS	4682416019	A	Verified	GSM996679
25	DP-13	DP	4682416019	B	Verified	GSM996710
26	DP-21	DP	4682416019	C	Verified	GSM996718
27	DP-18	DP	4682416019	D	Verified	GSM996715
28	RS-03	RS	4682416019	E	Verified	GSM996695
29	DP-17	DP	4682416019	F	Verified	GSM996714
33	RS-18	RS	4682416043	A	Verified	GSM996693
35	N3.2	N	4682416043	B	Generic	GSM996738
37	GA_Heat	GA	4682416043	C	Modified	GSM996762
38	GA_Base	GA	4682416043	D	Modified	GSM996761
39	RS-04	RS	4682416043	E	Verified	GSM996696
40	DP-29	DP	4682416043	F	Verified	GSM996726
41	DM961	DM	4682416087	A	Modified	GSM996753
42	Medium-03	M	4682416087	B	Background	GSM996664
43	RS-19	RS	4682416087	C	Verified	GSM996697
45	TV-35	TV	4682416087	D	other	GSM996660
46	TV-66	TV	4682416087	E	other	GSM996661
47	TV109	TV	4682416087	F	Modified	GSM996751
30	N4.1	N	4682416090	A	Generic	GSM996739
31	DP-14	DP	4682416090	B	Verified	GSM996711
32	Medium-02	M	4682416090	C	Background	GSM996663
34	DP-27	DP	4682416090	D	Verified	GSM996724
36	DP-26	DP	4682416090	E	Verified	GSM996723
44	DP-28	DP	4682416090	F	Verified	GSM996725
72	RS-10	RS	4763128059	A	Verified	GSM996685
73	N2.2	N	4763128059	B	Generic	GSM996736
74	DP-06	DP	4763128059	C	Verified	GSM996703
75	DM962.3	DM	4763128059	D	Modified	GSM996756
76	DP-07	DP	4763128059	E	Verified	GSM996704
77	Medium-09	M	4763128059	F	Background	GSM996670
78	RS-11	RS	4763128060	A	Verified	GSM996686
79	N2.1	N	4763128060	B	Generic	GSM996735
80	DP-09	DP	4763128060	C	Verified	GSM996706
81	DM962.2	DM	4763128060	D	Modified	GSM996755
82	DP-05	DP	4763128060	E	Verified	GSM996702
83	Medium-10	M	4763128060	F	Background	GSM996671
48	RS-05	RS	4763646004	A	Verified	GSM996680
49	RS_h-1	RS	4763646004	B	Verified	GSM996676
50	DP-01	DP	4763646004	C	Verified	GSM996698
51	Medium-04	M	4763646004	D	Background	GSM996665
52	RS-06	RS	4763646004	E	Verified	GSM996681
53	RS_h-2	RS	4763646004	F	Verified	GSM996677
60	RS-08	RS	4763646012	A	Verified	GSM996683
61	N4.2	N	4763646012	B	Generic	GSM996740
62	DP-33	DP	4763646012	C	Verified	GSM996730
63	C1.1	C	4763646012	D	Generic	GSM996732
64	N5.2	N	4763646012	E	Generic	GSM996743
65	Medium-07	M	4763646012	F	Background	GSM996668
66	RS-09	RS	4763646026	A	Verified	GSM996684
67	N4.3	N	4763646026	B	Generic	GSM996741
68	DP-08	DP	4763646026	C	Verified	GSM996705
69	C1.2	C	4763646026	D	Generic	GSM996733
70	N5.3	N	4763646026	E	Generic	GSM996744
71	Medium-08	M	4763646026	F	Background	GSM996669
54	DP-02	DP	4763646030	A	Verified	GSM996699
55	Medium-05	M	4763646030	B	Background	GSM996666
56	RS-07	RS	4763646030	C	Verified	GSM996682
57	RS_h-3	RS	4763646030	D	Verified	GSM996678
58	DP-03	DP	4763646030	E	Verified	GSM996700
59	Medium-06	M	4763646030	F	Background	GSM996667
84	RS-12	RS	5216898004	A	Verified	GSM996687
85	Appo1.2	A	5216898004	B	NA	NA
86	DP-22	DP	5216898004	C	Verified	GSM996719
87	Appo2.1	A	5216898004	D	Glatiramoid	GSM996757
88	DP-12	DP	5216898004	E	Verified	GSM996709
89	Medium-11	M	5216898004	F	Background	GSM996672
90	RS-13	RS	5216898008	A	Verified	GSM996688
91	Shira.1	S	5216898008	B	Glatiramoid	GSM996745
92	DP-24	DP	5216898008	C	Verified	GSM996721
93	TV5010.1	TV	5216898008	D	Glatiramoid	GSM996749
94	DP-10	DP	5216898008	E	Verified	GSM996707
95	Medium-12	M	5216898008	F	Background	GSM996673
96	RS-14	RS	5216898012	A	Verified	GSM996689
97	Appo1.1	A	5216898012	B	Glatiramoid	GSM996758
98	DP-23	DP	5216898012	C	Verified	GSM996720
99	Appo2.2	A	5216898012	D	Glatiramoid	GSM996759
100	Edan.1	E	5216898012	E	Glatiramoid	GSM996747
101	Medium-13	M	5216898012	F	Background	GSM996674
102	RS-15	RS	5216898024	A	Verified	GSM996690
103	Shira.2	S	5216898024	B	Glatiramoid	GSM996746
104	DP-25	DP	5216898024	C	Verified	GSM996722
105	TV5010.2	TV	5216898024	D	Glatiramoid	GSM996750
106	Edan.2	E	5216898024	E	Glatiramoid	GSM996748
107	Medium-14	M	5216898024	F	Background	GSM996675
